cmip6_table,name,long_name,std_name,units,cmip6plus_key,cmip6_key
Amon,pr,Precipitation,precipitation_flux,kg m-2 s-1,APmon/pr,Amon/pr
Amon,psl,Sea Level Pressure,air_pressure_at_mean_sea_level,Pa,APmon/psl,Amon/psl
Amon,tas,Near-Surface Air Temperature,air_temperature,K,APmon/tas,Amon/tas
day,huss,Near-Surface Specific Humidity,specific_humidity,1,APday/huss,day/huss
day,pr,Precipitation,precipitation_flux,kg m-2 s-1,APday/pr,day/pr
day,prc,Convective Precipitation,convective_precipitation_flux,kg m-2 s-1,APday/prc,day/prc
day,prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,APday/prsn,day/prsn
day,rlds,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2,APday/rlds,day/rlds
day,rsds,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,APday/rsds,day/rsds
day,sfcWind,Daily-Mean Near-Surface Wind Speed,wind_speed,m s-1,APday/sfcWind,day/sfcWind
day,tas,Near-Surface Air Temperature,air_temperature,K,APday/tas,day/tas
CFday,ps,Surface Air Pressure,surface_air_pressure,Pa,APday/ps,CFday/ps
Eday,ts,Surface Temperature,surface_temperature,K,APday/ts,Eday/ts
day,tasmin,Daily Minimum Near-Surface Air Temperature,air_temperature,K,APday/tasmin,day/tasmin
day,tasmax,Daily Maximum Near-Surface Air Temperature,air_temperature,K,APday/tasmax,day/tasmax
day,hurs,Near-Surface Relative Humidity,relative_humidity,%,APday/hurs,day/hurs
Amon,prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,APmon/prsn,Amon/prsn
Eday,prra,Rainfall Flux over Land,rainfall_flux,kg m-2 s-1,APday/prra,Eday/prra
Amon,rsds,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,APmon/rsds,Amon/rsds
Amon,rlds,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2,APmon/rlds,Amon/rlds
Amon,sfcWind,Near-Surface Wind Speed,wind_speed,m s-1,APmon/sfcWind,Amon/sfcWind
Amon,ps,Surface Air Pressure,surface_air_pressure,Pa,APmon/ps,Amon/ps
Amon,rsus,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2,APmon/rsus,Amon/rsus
Amon,rlus,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2,APmon/rlus,Amon/rlus
Amon,huss,Near-Surface Specific Humidity,specific_humidity,1,APmon/huss,Amon/huss
Amon,hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,APmon/hfls,Amon/hfls
Amon,hfss,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,W m-2,APmon/hfss,Amon/hfss
Amon,ts,Surface Temperature,surface_temperature,K,APmon/ts,Amon/ts
