variable_group,cmip6plus_key,cmip6_key,long_name,std_name,units,cmip6_table,name,in_cmip_core
forcing,AEmon/depdust,Emon/depdust,Total Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_deposition,kg m-2 s-1,Emon,depdust,FALSE
esm-diagnostic,APmonLev/cl,Amon/cl,Percentage Cloud Cover,cloud_area_fraction_in_atmosphere_layer,%,Amon,cl,TRUE
esm-diagnostic,APmonLev/cli,Amon/cli,Mass Fraction of Cloud Ice,mass_fraction_of_cloud_ice_in_air,kg kg-1,Amon,cli,TRUE
esm-diagnostic,APmon/clivi,Amon/clivi,Ice Water Path,atmosphere_mass_content_of_cloud_ice,kg m-2,Amon,clivi,TRUE
esm-diagnostic,APmon/clt,Amon/clt,Total Cloud Cover Percentage,cloud_area_fraction,%,Amon,clt,TRUE
esm-diagnostic,APmonLev/clw,Amon/clw,Mass Fraction of Cloud Liquid Water,mass_fraction_of_cloud_liquid_water_in_air,kg kg-1,Amon,clw,TRUE
esm-diagnostic,APmon/clwvi,Amon/clwvi,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,kg m-2,Amon,clwvi,TRUE
esm-diagnostic,APmon/fco2antt,Amon/fco2antt,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kgC m-2 s-1],tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,kg m-2 s-1,Amon,fco2antt,TRUE
esm-diagnostic,APmon/fco2nat,Amon/fco2nat,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_sources,kg m-2 s-1,Amon,fco2nat,TRUE
esm-diagnostic,APmon/hur,Amon/hur,Relative Humidity,relative_humidity,%,Amon,hur,TRUE
esm-diagnostic,APmon/hurs,Amon/hurs,Near-Surface Relative Humidity,relative_humidity,%,Amon,hurs,TRUE
esm-diagnostic,APmon/hus19,Amon/hus,Specific Humidity,specific_humidity,1,Amon,hus,TRUE
esm-diagnostic,APmon/prc,Amon/prc,Convective Precipitation,convective_precipitation_flux,kg m-2 s-1,Amon,prc,TRUE
