cmip6_table,name,long_name,std_name,units,cmip6plus_key,cmip6_key,in_cmip_core
Emon,depdust,Total Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_deposition,kg m-2 s-1,AEmon/depdust,Emon/depdust,FALSE
day,hurs,Near-Surface Relative Humidity,relative_humidity,%,APday/hurs,day/hurs,TRUE
day,huss,Near-Surface Specific Humidity,specific_humidity,1,APday/huss,day/huss,TRUE
day,pr,Precipitation,precipitation_flux,kg m-2 s-1,APday/pr,day/pr,TRUE
day,prc,Convective Precipitation,convective_precipitation_flux,kg m-2 s-1,APday/prc,day/prc,TRUE
Eday,prra,Rainfall Flux over Land,rainfall_flux,kg m-2 s-1,APday/prra,Eday/prra,FALSE
day,prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,APday/prsn,day/prsn,TRUE
CFday,ps,Surface Air Pressure,surface_air_pressure,Pa,APday/ps,CFday/ps,FALSE
day,rlds,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2,APday/rlds,day/rlds,TRUE
day,rlus,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2,APday/rlus,day/rlus,TRUE
day,rsds,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,APday/rsds,day/rsds,TRUE
day,rsus,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2,APday/rsus,day/rsus,TRUE
day,sfcWind,Daily-Mean Near-Surface Wind Speed,wind_speed,m s-1,APday/sfcWind,day/sfcWind,TRUE
day,tas,Near-Surface Air Temperature,air_temperature,K,APday/tas,day/tas,TRUE
day,tasmax,Daily Maximum Near-Surface Air Temperature,air_temperature,K,APday/tasmax,day/tasmax,TRUE
day,tasmin,Daily Minimum Near-Surface Air Temperature,air_temperature,K,APday/tasmin,day/tasmin,TRUE
Eday,ts,Surface Temperature,surface_temperature,K,APday/ts,Eday/ts,FALSE
day,uas,Eastward Near-Surface Wind,eastward_wind,m s-1,APday/uas,day/uas,TRUE
day,vas,Northward Near-Surface Wind,northward_wind,m s-1,APday/vas,day/vas,TRUE
fx,sftlf,Percentage of the Grid Cell Occupied by Land (Including Lakes),land_area_fraction,%,APfx/sftlf,fx/sftlf,FALSE
Amon,co2,Mole Fraction of CO2,mole_fraction_of_carbon_dioxide_in_air,mol mol-1,APmon/co2,Amon/co2,TRUE
Emon,co2s,Atmosphere CO2,mole_fraction_of_carbon_dioxide_in_air,0.000001,APmon/co2s,Emon/co2s,FALSE
Amon,evspsbl,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,kg m-2 s-1,APmon/evspsbl,Amon/evspsbl,TRUE
Amon,hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,APmon/hfls,Amon/hfls,TRUE
Amon,hfss,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,W m-2,APmon/hfss,Amon/hfss,TRUE
Amon,huss,Near-Surface Specific Humidity,specific_humidity,1,APmon/huss,Amon/huss,TRUE
Amon,pr,Precipitation,precipitation_flux,kg m-2 s-1,APmon/pr,Amon/pr,TRUE
Amon,prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,APmon/prsn,Amon/prsn,TRUE
Amon,ps,Surface Air Pressure,surface_air_pressure,Pa,APmon/ps,Amon/ps,TRUE
Amon,psl,Sea Level Pressure,air_pressure_at_mean_sea_level,Pa,APmon/psl,Amon/psl,TRUE
Amon,rlds,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2,APmon/rlds,Amon/rlds,TRUE
Amon,rlus,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,W m-2,APmon/rlus,Amon/rlus,TRUE
Amon,rsds,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,W m-2,APmon/rsds,Amon/rsds,TRUE
Amon,rsus,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,W m-2,APmon/rsus,Amon/rsus,TRUE
Amon,sfcWind,Near-Surface Wind Speed,wind_speed,m s-1,APmon/sfcWind,Amon/sfcWind,TRUE
Emon,sfcWindmax,Daily Maximum Near-Surface Wind Speed,wind_speed,m s-1,APmon/sfcWindmax,Emon/sfcWindmax,FALSE
Amon,tas,Near-Surface Air Temperature,air_temperature,K,APmon/tas,Amon/tas,TRUE
Amon,ts,Surface Temperature,surface_temperature,K,APmon/ts,Amon/ts,TRUE
IfxGre,hfgeoubed,Geothermal Heat Flux Beneath Land Ice,upward_geothermal_heat_flux_at_ground_level_in_land_ice,W m-2,GIGfx/hfgeoubed,IfxGre/hfgeoubed,FALSE
IfxGre,lithk,Ice Sheet Thickness,land_ice_thickness,m,GIGfx/lithk,IfxGre/lithk,FALSE
IfxGre,topg,Bedrock Altitude,bedrock_altitude,m,GIGfx/topg,IfxGre/topg,FALSE
ImonGre,hfls,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,GIGmon/hfls,ImonGre/hfls,FALSE
ImonGre,prra,Rainfall Flux over Land Ice,rainfall_flux,kg m-2 s-1,GIGmon/prra,ImonGre/prra,FALSE
ImonGre,prsn,Snowfall Flux,snowfall_flux,kg m-2 s-1,GIGmon/prsn,ImonGre/prsn,FALSE
ImonGre,snicem,Surface Snow and Ice Melt Flux,surface_snow_and_ice_melt_flux,kg m-2 s-1,GIGmon/snicem,ImonGre/snicem,FALSE
day,snw,Surface Snow Amount,surface_snow_amount,kg m-2,LIday/snw,day/snw,TRUE
LImon,acabfIs,Ice Sheet Surface Mass Balance Flux,land_ice_surface_specific_mass_balance_flux,kg m-2 s-1,LImon/acabfIs,LImon/acabfIs,FALSE
LImon,hflsIs,Ice Sheet Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,W m-2,LImon/hflsIs,LImon/hflsIs,FALSE
LImon,hfssIs,Ice Sheet Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,W m-2,LImon/hfssIs,LImon/hfssIs,FALSE
LImon,orogIs,Ice Sheet Surface Altitude,surface_altitude,m,LImon/orogIs,LImon/orogIs,FALSE
LImon,rldsIs,Ice Sheet Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,W m-2,LImon/rldsIs,LImon/rldsIs,FALSE
