variable_group,cmip6_table,name,long_name,std_name,units,cmip6plus_key,cmip6_key,in_cmip_core
forcing,Emon,depdust,Total Deposition Rate of Dust,minus_tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_particles_due_to_deposition,kg m-2 s-1,AEmon/depdust,Emon/depdust,FALSE
esm-diagnostic,Amon,cl,Percentage Cloud Cover,cloud_area_fraction_in_atmosphere_layer,%,Amon/cl,APmonLev/cl,TRUE
esm-diagnostic,Amon,cli,Mass Fraction of Cloud Ice,mass_fraction_of_cloud_ice_in_air,kg kg-1,Amon/cli,APmonLev/cli,TRUE
esm-diagnostic,Amon,clivi,Ice Water Path,atmosphere_mass_content_of_cloud_ice,kg m-2,Amon/clivi,APmon/clivi,TRUE
esm-diagnostic,Amon,clt,Total Cloud Cover Percentage,cloud_area_fraction,%,Amon/clt,APmon/clt,TRUE
esm-diagnostic,Amon,clw,Mass Fraction of Cloud Liquid Water,mass_fraction_of_cloud_liquid_water_in_air,kg kg-1,Amon/clw,APmonLev/clw,TRUE
esm-diagnostic,Amon,clwvi,Condensed Water Path,atmosphere_mass_content_of_cloud_condensed_water,kg m-2,Amon/clwvi,APmon/clwvi,TRUE
esm-diagnostic,Amon,fco2antt,Carbon Mass Flux into Atmosphere Due to All Anthropogenic Emissions of CO2 [kgC m-2 s-1],tendency_of_atmosphere_mass_content_of_carbon_dioxide_expressed_as_carbon_due_to_anthropogenic_emission,kg m-2 s-1,Amon/fco2antt,APmon/fco2antt,TRUE
esm-diagnostic,Amon,fco2nat,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_emission_from_natural_sources,kg m-2 s-1,Amon/fco2nat,APmon/fco2nat,TRUE
esm-diagnostic,Amon,hur,Relative Humidity,relative_humidity,%,Amon/hur,APmon/hur,TRUE
esm-diagnostic,Amon,hurs,Near-Surface Relative Humidity,relative_humidity,%,Amon/hurs,APmon/hurs,TRUE
esm-diagnostic,Amon,hus,Specific Humidity,specific_humidity,1,Amon/hus,APmon/hus19,TRUE
esm-diagnostic,Amon,prc,Convective Precipitation,convective_precipitation_flux,kg m-2 s-1,Amon/prc,APmon/prc,TRUE
esm-diagnostic,Amon,prw,Water Vapor Path,atmosphere_mass_content_of_water_vapor,kg m-2,Amon/prw,APmon/prw,TRUE
